Date,Open,High,Low,Close,Adj Close,Volume
2021-03-04,106.260002,107.169998,103.849998,104.889999,103.100822,7211800
2021-03-05,106.059998,106.059998,102.750000,105.199997,103.405533,5559900
2021-03-08,104.800003,106.889999,104.230003,105.029999,103.238441,5119500
2021-03-09,106.279999,107.970001,105.830002,106.550003,104.732521,5510900
2021-03-10,107.220001,109.070000,106.959999,107.779999,105.941521,6077000
2021-03-11,108.410004,108.570000,107.260002,107.320000,105.489372,4670700
2021-03-12,107.419998,107.989998,106.580002,107.809998,105.971024,3356000
2021-03-15,107.889999,108.949997,107.059998,108.900002,107.042427,7107300
2021-03-16,110.570000,112.339996,109.889999,111.339996,109.440804,11376200
2021-03-17,111.309998,111.459999,108.930000,110.459999,108.575813,10128400
2021-03-18,109.279999,110.269997,107.500000,107.620003,105.784264,7813400
2021-03-19,108.349998,108.849998,105.830002,106.339996,104.526093,21452000
2021-03-22,106.400002,108.419998,106.000000,107.570000,105.735115,7605100
2021-03-23,107.739998,107.949997,105.669998,106.250000,104.437630,5657800
2021-03-24,106.629997,107.279999,104.940002,104.970001,103.179466,5731300
2021-03-25,105.010002,107.699997,104.059998,107.349998,105.518860,8149000
2021-03-26,107.250000,110.000000,107.180000,109.900002,108.025368,6167600
2021-03-29,109.010002,110.250000,106.589996,109.129997,107.268501,5167100
2021-03-30,108.419998,110.449997,108.279999,110.269997,108.389053,4552900
2021-03-31,110.330002,111.620003,109.190002,109.269997,107.406113,6478400
2021-04-01,110.059998,110.059998,108.199997,109.379997,107.514236,5793000
2021-04-05,109.910004,111.349998,109.870003,111.019997,109.126259,6913100
2021-04-06,111.379997,113.820000,111.099998,113.150002,111.219940,6745200
2021-04-07,112.910004,113.760002,112.650002,113.190002,111.259247,5629600
2021-04-08,113.650002,113.959999,112.680000,113.040001,111.111816,5011300
2021-04-09,112.910004,113.269997,111.970001,113.180000,111.249420,4114300
2021-04-12,113.019997,113.889999,112.769997,113.809998,111.868675,4707800
