Date,Open,High,Low,Close,Adj Close,Volume
01/02/1962,6.978967,7.087317,6.978967,7.068196,1.577106,674670
02/02/1962,7.068196,7.112811,7.036329,7.112811,1.587062,533460
05/02/1962,7.112811,7.112811,6.985341,7.023582,1.567152,329490
06/02/1962,7.023582,7.036329,6.998088,7.029955,1.568787,274575
07/02/1962,7.036329,7.07457,7.036329,7.036329,1.570211,266730
08/02/1962,7.036329,7.07457,7.036329,7.042702,1.571632,23535
09/02/1962,7.042702,7.09369,7.010835,7.09369,1.583011,455010
12/02/1962,7.09369,7.151052,7.087317,7.100064,1.584434,298110
13/02/1962,7.100064,7.106437,6.985341,6.985341,1.558831,274575
14/02/1962,6.985341,7.010835,6.959847,6.972594,1.555987,219660
15/02/1962,6.972594,6.972594,6.940727,6.9471,1.550297,243195
16/02/1962,6.9471,6.972594,6.940727,6.940727,1.548877,235350
19/02/1962,6.940727,6.972594,6.857871,6.870618,1.53323,298110
20/02/1962,6.873805,6.908859,6.873805,6.873805,1.533943,305955
21/02/1962,6.873805,6.921606,6.822817,6.822817,1.522563,384405
23/02/1962,6.832377,6.857871,6.832377,6.845124,1.527542,305955
26/02/1962,6.845124,6.851498,6.806883,6.81963,1.521852,313800
27/02/1962,6.81963,6.876992,6.781389,6.832377,1.524696,368715
28/02/1962,6.832377,6.845124,6.794136,6.845124,1.527542,282420
01/03/1962,6.870618,6.92798,6.870618,6.92798,1.546031,298110
02/03/1962,6.985341,7.023582,6.985341,6.985341,1.558831,258885
05/03/1962,6.985341,6.985341,6.934353,6.959847,1.553143,376560
06/03/1962,6.959847,6.991714,6.9471,6.966221,1.554565,196125
07/03/1962,6.966221,6.988528,6.9471,6.988528,1.559544,133365
08/03/1962,6.988528,7.004461,6.9471,7.004461,1.5631,196125
09/03/1962,7.010835,7.049076,7.010835,7.049076,1.573055,305955
12/03/1962,7.049076,7.068196,7.023582,7.042702,1.571632,298110
13/03/1962,7.042702,7.042702,7.010835,7.036329,1.570211,133365
14/03/1962,7.036329,7.055449,7.010835,7.023582,1.567365,211815
15/03/1962,7.023582,7.061823,7.010835,7.010835,1.564521,258885
16/03/1962,7.010835,7.042702,7.010835,7.042702,1.571632,172590
